元件编号	元件名称	元件类别	封装规格	焊盘数量	品牌产地	库类型
C4177	1.8KΩ (1801) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22818	16KΩ (1602) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22827	180KΩ (1803) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22797	13KΩ (1302) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22807	150KΩ (1503) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22808	150Ω (1500) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C4260	6.2KΩ (6201) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C12447	40.2KΩ (4022) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C4275	75Ω (75R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C7250	10MΩ (1005) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C25905	5.1KΩ (5101) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25123	510Ω (5100) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25794	51KΩ (5102) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25917	6.8KΩ (6801) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C22950	20Ω (20R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22961	220KΩ (2203) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22939	2.2Ω (2R20) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22940	2.4KΩ (2401) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22936	1Ω (1R00) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22966	270Ω (2700) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22980	3.6KΩ (3601) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23018	3.9KΩ (3901) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23024	300KΩ (3003) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23025	300Ω (3000) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23046	4.99KΩ (4991) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23164	4.7Ω (4R70) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23172	43KΩ (4302) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23178	470KΩ (4703) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23151	390Ω (3900) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
